fid;class;Landsat8_2024-07-23_1;Landsat8_2024-07-23_2;Landsat8_2024-07-23_3;Landsat8_2024-07-23_4;Landsat8_2024-07-23_5;Landsat8_2024-07-23_6;Landsat8_2024-07-23_7;NDVI;NDMI;NBR
1;1;8082;8224;9095;9072;17926;15454;11338;0.3279502185347063;0.07405632115038946;0.22512301804264626
2;1;8360;8591;9471;9673;18528;17096;12397;0.31399595759015636;0.04019761958230406;0.19825383993532741
3;1;7925;8006;8645;8392;16859;13548;10124;0.3353134529325571;0.10888940046699773;0.2496016010080421
4;1;8383;8644;9609;9934;18424;17611;12812;0.29938641653149023;0.022561398640210905;0.17966448969138174
5;1;8236;8439;9250;9363;17837;15724;11649;0.3115441176470588;0.06295998331396561;0.2098623075357797
6;1;8150;8317;9219;9283;18993;15860;11583;0.3434007638987127;0.08989183140619172;0.2423469387755102
7;1;8406;8624;9493;9667;18153;17228;12503;0.30503235082674335;0.02614397558011362;0.18430323590814196
8;1;8105;8357;9175;9238;17896;15545;11507;0.31908306921205865;0.07030292156335038;0.217290752644288
9;1;8332;8497;9204;9312;17549;15856;11720;0.3066527679535386;0.050681035773087864;0.19915268714339404
10;1;8390;8599;9558;9770;18930;16989;12358;0.3191637630662021;0.05403825273532114;0.21004858092559447
11;1;8222;8404;9192;9358;16999;15540;11670;0.28990401031983914;0.04483850149051907;0.18588021905193763
12;1;8214;8428;9273;9391;18121;16522;12022;0.31731608025588837;0.046156510694801256;0.20233553395481538
13;1;8127;8284;9168;9189;18577;15894;11680;0.3381113592163077;0.077833541237562;0.22794725187559903
14;1;7990;8135;8809;8692;17203;14056;10632;0.32867348909055805;0.10067500559838767;0.23606969642536374
15;1;8137;8288;9164;9136;18431;15473;11301;0.33717851053796205;0.08724634261444078;0.23980896004305124
16;1;7968;8095;8809;8645;17554;13995;10453;0.34005114699034317;0.11280864686677866;0.25354375691791337
17;1;8356;8632;9379;9789;17486;16156;12071;0.28219981668194316;0.03953391593841032;0.18320533207023718
18;1;8099;8234;8977;8963;17411;15364;11208;0.32031546219761886;0.062456140350877196;0.21674412103847093
19;1;8320;8628;9564;9911;18582;16663;12245;0.30432035938651597;0.05444743935309973;0.20556654880461933
20;1;8362;8590;9532;9744;18368;17242;12524;0.30677290836653387;0.031620331367593374;0.18917519098795804
21;1;8180;8409;9176;9323;17385;15878;11723;0.3018571214617343;0.04530559480503863;0.19451697127937337
22;1;8347;8578;9449;9623;18793;17454;12503;0.322705518018018;0.036940988219714734;0.20098415132924335
23;1;8084;8216;8842;8767;16819;14560;10881;0.31470335339638866;0.07199082188724944;0.2143682310469314
24;1;7835;7937;8442;8176;16105;12319;9590;0.32655162472715293;0.13319729805797917;0.2535512745670364
25;1;8672;8951;9990;10577;18508;18372;13406;0.2726835138387485;0.00368763557483731;0.15986714294666918
